"corpus_string","Freq"
"grave",23
"hush",23
"latter",23
"lost",23
"loved",23
"neck",23
"park",23
"parlour",23
"pretty",23
"reached",23
"remain",23
"seized",23
"short",23
"silent",23
"sister",23
"snow",23
"temper",23
"th",23
"tried",23
"uttered",23
"absence",22
"change",22
"corner",22
"early",22
"eye",22
"fine",22
"friends",22
"guess",22
"means",22
"moors",22
"notion",22
"seated",22
"servants",22
"silence",22
"speech",22
"stranger",22
"taken",22
"true",22
"wind",22
"winter",22
"air",21
"bit",21
"breath",21
"course",21
"creature",21
"demanded",21
"dinner",21
"enter",21
"entrance",21
"five",21
"housekeeper",21
"large",21
"laughed",21
"mouth",21
"nature",21
"past",21
"promise",21
"received",21
"rough",21
"seeing",21
"sight",21
"sweet",21
"upon",21
"use",21
"yours",21
"aware",20
"best",20
"beyond",20
"compelled",20
"conduct",20
"country",20
"died",20
"entirely",20
"fellow",20
"forward",20
"glance",20
"ground",20
"health",20
"hell",20
"immediately",20
"letter",20
"library",20
"mad",20
"question",20
"reach",20
"second",20
"sick",20
"six",20
"sometimes",20
"sound",20
"step",20
"suffer",20
"tired",20
"trees",20
"truth",20
"week",20
"wrong",20
"yesterday",20
"aspect",19
"caught",19
"cause",19
"chance",19
"cheek",19
"cut",19
"dare",19
"existence",19
"fixed",19
"forgive",19
"handsome",19
"high",19
"hills",19
"journey",19
"laughing",19
"lips",19
"lockwood",19
"needn",19
"obliged",19
"pass",19
"passed",19
"point",19
"presently",19
"red",19
"removed",19
"smile",19
"tone",19
"un",19
"warm",19
"whom",19
"apartment",18
"bitter",18
"cross",18
"darling",18
"departed",18
"distance",18
"dropped",18
"dying",18
"fall",18
"feeling",18
"feelings",18
"finally",18
"fool",18
"fro",18
"front",18
"interest",18
"kindness",18
"leant",18
"marry",18
"mention",18
"moor",18
"n",18
"object",18
"pony",18
"possible",18
"repeat",18
"roof",18
"single",18
"small",18
"teeth",18
"touch",18
"watch",18
"weeping",18
"act",17
"allow",17
"apparently",17
"appearance",17
"changed",17
"condition",17
"court",17
"dared",17
"daughter",17
"discovered",17
"flung",17
"follow",17
"gaze",17
"generally",17
"hat",17
"humour",17
"imagine",17
"leaving",17
"moved",17
"naughty",17
"opportunity",17
"passion",17
"pride",17
"refused",17
"resolved",17
"sad",17
"stayed",17
"top",17
"walking",17
"yard",17
"able",16
"age",16
"aloud",16
"asleep",16
